year,month,day,weekday,collection_date,exact_day_date,box_colour,bin_type,reminder_day_before,reminder_same_day
2026,February,17,Tuesday,2026-02-17,"Tuesday, 17 February 2026",cyan,recycling_compost,2026-02-16,2026-02-17
2026,February,24,Tuesday,2026-02-24,"Tuesday, 24 February 2026",black,waste,2026-02-23,2026-02-24
2026,March,3,Tuesday,2026-03-03,"Tuesday, 03 March 2026",cyan,recycling_compost,2026-03-02,2026-03-03
2026,March,10,Tuesday,2026-03-10,"Tuesday, 10 March 2026",black,waste,2026-03-09,2026-03-10
2026,March,17,Tuesday,2026-03-17,"Tuesday, 17 March 2026",cyan,recycling_compost,2026-03-16,2026-03-17
2026,March,24,Tuesday,2026-03-24,"Tuesday, 24 March 2026",black,waste,2026-03-23,2026-03-24
2026,March,31,Tuesday,2026-03-31,"Tuesday, 31 March 2026",cyan,recycling_compost,2026-03-30,2026-03-31
2026,April,7,Tuesday,2026-04-07,"Tuesday, 07 April 2026",black,waste,2026-04-06,2026-04-07
2026,April,14,Tuesday,2026-04-14,"Tuesday, 14 April 2026",cyan,recycling_compost,2026-04-13,2026-04-14
2026,April,21,Tuesday,2026-04-21,"Tuesday, 21 April 2026",black,waste,2026-04-20,2026-04-21
2026,April,28,Tuesday,2026-04-28,"Tuesday, 28 April 2026",cyan,recycling_compost,2026-04-27,2026-04-28
2026,May,5,Tuesday,2026-05-05,"Tuesday, 05 May 2026",black,waste,2026-05-04,2026-05-05
2026,May,12,Tuesday,2026-05-12,"Tuesday, 12 May 2026",cyan,recycling_compost,2026-05-11,2026-05-12
2026,May,19,Tuesday,2026-05-19,"Tuesday, 19 May 2026",black,waste,2026-05-18,2026-05-19
2026,May,26,Tuesday,2026-05-26,"Tuesday, 26 May 2026",cyan,recycling_compost,2026-05-25,2026-05-26
2026,June,2,Tuesday,2026-06-02,"Tuesday, 02 June 2026",black,waste,2026-06-01,2026-06-02
2026,June,9,Tuesday,2026-06-09,"Tuesday, 09 June 2026",cyan,recycling_compost,2026-06-08,2026-06-09
2026,June,16,Tuesday,2026-06-16,"Tuesday, 16 June 2026",black,waste,2026-06-15,2026-06-16
2026,June,23,Tuesday,2026-06-23,"Tuesday, 23 June 2026",cyan,recycling_compost,2026-06-22,2026-06-23
2026,June,30,Tuesday,2026-06-30,"Tuesday, 30 June 2026",black,waste,2026-06-29,2026-06-30
2026,July,7,Tuesday,2026-07-07,"Tuesday, 07 July 2026",cyan,recycling_compost,2026-07-06,2026-07-07
2026,July,14,Tuesday,2026-07-14,"Tuesday, 14 July 2026",black,waste,2026-07-13,2026-07-14
2026,July,21,Tuesday,2026-07-21,"Tuesday, 21 July 2026",cyan,recycling_compost,2026-07-20,2026-07-21
2026,July,28,Tuesday,2026-07-28,"Tuesday, 28 July 2026",black,waste,2026-07-27,2026-07-28
2026,August,4,Tuesday,2026-08-04,"Tuesday, 04 August 2026",cyan,recycling_compost,2026-08-03,2026-08-04
2026,August,11,Tuesday,2026-08-11,"Tuesday, 11 August 2026",black,waste,2026-08-10,2026-08-11
2026,August,18,Tuesday,2026-08-18,"Tuesday, 18 August 2026",cyan,recycling_compost,2026-08-17,2026-08-18
2026,August,25,Tuesday,2026-08-25,"Tuesday, 25 August 2026",black,waste,2026-08-24,2026-08-25
2026,September,1,Tuesday,2026-09-01,"Tuesday, 01 September 2026",cyan,recycling_compost,2026-08-31,2026-09-01
2026,September,8,Tuesday,2026-09-08,"Tuesday, 08 September 2026",black,waste,2026-09-07,2026-09-08
2026,September,15,Tuesday,2026-09-15,"Tuesday, 15 September 2026",cyan,recycling_compost,2026-09-14,2026-09-15
2026,September,22,Tuesday,2026-09-22,"Tuesday, 22 September 2026",black,waste,2026-09-21,2026-09-22
2026,September,29,Tuesday,2026-09-29,"Tuesday, 29 September 2026",cyan,recycling_compost,2026-09-28,2026-09-29
2026,October,6,Tuesday,2026-10-06,"Tuesday, 06 October 2026",black,waste,2026-10-05,2026-10-06
2026,October,13,Tuesday,2026-10-13,"Tuesday, 13 October 2026",cyan,recycling_compost,2026-10-12,2026-10-13
2026,October,20,Tuesday,2026-10-20,"Tuesday, 20 October 2026",black,waste,2026-10-19,2026-10-20
2026,October,27,Tuesday,2026-10-27,"Tuesday, 27 October 2026",cyan,recycling_compost,2026-10-26,2026-10-27
2026,November,3,Tuesday,2026-11-03,"Tuesday, 03 November 2026",black,waste,2026-11-02,2026-11-03
2026,November,10,Tuesday,2026-11-10,"Tuesday, 10 November 2026",cyan,recycling_compost,2026-11-09,2026-11-10
2026,November,17,Tuesday,2026-11-17,"Tuesday, 17 November 2026",black,waste,2026-11-16,2026-11-17
2026,November,24,Tuesday,2026-11-24,"Tuesday, 24 November 2026",cyan,recycling_compost,2026-11-23,2026-11-24
2026,December,1,Tuesday,2026-12-01,"Tuesday, 01 December 2026",black,waste,2026-11-30,2026-12-01
2026,December,8,Tuesday,2026-12-08,"Tuesday, 08 December 2026",cyan,recycling_compost,2026-12-07,2026-12-08
2026,December,15,Tuesday,2026-12-15,"Tuesday, 15 December 2026",black,waste,2026-12-14,2026-12-15
2026,December,22,Tuesday,2026-12-22,"Tuesday, 22 December 2026",cyan,recycling_compost,2026-12-21,2026-12-22
2026,December,29,Tuesday,2026-12-29,"Tuesday, 29 December 2026",black,waste,2026-12-28,2026-12-29
